N,File_Name,Hand_Marks,Network_Marks,Cross_Marks,"Lie_Marks, %","True_Marks>20px, %","dR<4px, %","dR<10px, %"
18,frame0 00 0000.txt,222,216,206,4.62962962962963,100,79.6116504854369,96.6019417475728
20,frame0 00 0100.txt,216,205,196,4.39024390243903,99.537037037037,82.6530612244898,97.9591836734694
5,frame0 00 0200.txt,271,240,230,4.16666666666666,99.6309963099631,82.1739130434783,97.3913043478261
21,frame0 00 0300.txt,252,241,234,2.9045643153527,100,79.4871794871795,97.4358974358974
34,frame0 00 0400.txt,258,237,229,3.37552742616034,100,79.9126637554585,99.5633187772926
35,frame0 00 0500.txt,227,214,207,3.27102803738317,99.5594713656388,71.9806763285024,95.1690821256039
8,frame0 00 0600.txt,287,274,262,4.37956204379562,99.3006993006993,80.1526717557252,98.8549618320611
37,frame0 00 0700.txt,302,292,274,6.16438356164384,99.6677740863787,78.1021897810219,97.4452554744526
2,frame0 00 0800.txt,234,228,218,4.3859649122807,99.5726495726496,81.651376146789,97.7064220183486
36,frame0 00 1000.txt,244,235,216,8.08510638297872,99.5901639344262,85.6481481481482,96.2962962962963
33,frame0 00 1100.txt,243,229,218,4.80349344978166,100,83.4862385321101,97.7064220183486
28,frame0 00 1200.txt,190,179,174,2.79329608938548,100,83.9080459770115,99.4252873563218
38,frame0 00 1300.txt,200,191,182,4.71204188481675,100,78.5714285714286,97.8021978021978
10,frame0 00 1400.txt,226,225,209,7.11111111111111,100,80.8612440191387,98.0861244019139
1,frame0 00 1500.txt,189,183,175,4.37158469945356,100,74.8571428571429,96.5714285714286
14,frame0 00 1600.txt,218,211,201,4.739336492891,100,78.1094527363184,96.0199004975124
17,frame0 00 1700.txt,176,168,162,3.57142857142857,100,73.4567901234568,96.2962962962963
11,frame0 00 1800.txt,224,216,206,4.62962962962963,100,77.1844660194175,96.6019417475728
3,frame0 00 1900.txt,214,204,192,5.88235294117647,100,84.375,98.4375
29,frame0 00 2000.txt,241,229,216,5.67685589519651,100,81.0185185185185,97.2222222222222
39,frame0 00 2100.txt,265,250,239,4.4,100,83.2635983263598,100
9,frame0 00 2200.txt,269,250,243,2.8,99.6282527881041,83.5390946502058,98.3539094650206
25,frame0 00 2300.txt,234,219,209,4.5662100456621,100,77.511961722488,98.5645933014354
7,frame0 00 2500.txt,183,179,169,5.58659217877096,100,72.189349112426,95.2662721893491
13,frame0 00 2600.txt,207,200,189,5.50000000000001,100,76.7195767195767,97.3544973544974
27,frame0 00 2700.txt,254,236,223,5.50847457627118,100,76.6816143497758,99.1031390134529
22,frame0 00 2800.txt,222,203,192,5.41871921182267,100,79.6875,98.4375
12,frame0 00 2900.txt,172,166,155,6.62650602409639,100,83.2258064516129,98.7096774193548
16,frame0 00 3000.txt,295,254,250,1.5748031496063,99.6610169491526,78,98.4
30,frame0 00 3100.txt,229,219,210,4.1095890410959,99.5633187772926,81.4285714285714,98.5714285714286
32,frame0 00 3200.txt,218,205,201,1.95121951219512,100,81.0945273631841,99.0049751243781
4,frame0 00 3300.txt,262,256,245,4.296875,100,83.265306122449,97.9591836734694
40,frame0 00 3400.txt,253,248,234,5.64516129032258,100,81.1965811965812,99.5726495726496
15,frame0 00 3500.txt,204,199,189,5.0251256281407,100,76.1904761904762,95.2380952380952
23,frame0 00 3600.txt,230,205,196,4.39024390243903,100,78.5714285714286,97.9591836734694
26,frame0 00 3700.txt,242,238,222,6.72268907563025,100,79.2792792792793,96.3963963963964
19,frame0 00 3800.txt,292,274,255,6.93430656934306,100,80,98.0392156862745
31,frame0 00 3900.txt,221,216,202,6.48148148148148,100,77.2277227722772,97.5247524752475
6,frame0 00 4000.txt,205,183,178,2.73224043715847,99.0243902439024,78.0898876404494,97.7528089887641
24,frame0 00 4100.txt,217,220,203,7.72727272727273,100,81.2807881773399,99.0147783251232
