x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.385 0.572 0.031 " " 0.385156 0.571875 0.032 " " 0.0 0.0 0.001 " " 0.0 0.1
0.598 0.619 0.034 " " 0.599219 0.61875 0.039 " " 0.001 0.0 0.005 " " 0.001 0.5
0.721 0.39 0.036 " " 0.721094 0.39375 0.036 " " 0.0 0.004 0.0 " " 0.4 0.0
0.662 0.276 0.037 " " 0.663281 0.277344 0.037 " " 0.002 0.002 0.0 " " 0.202 0.0
0.024 0.577 0.036 " " 0.0257812 0.575 0.038 " " 0.002 0.002 0.002 " " 0.202 0.2
0.407 0.385 0.034 " " 0.407031 0.385938 0.036 " " 0.0 0.001 0.002 " " 0.1 0.2
0.658 0.573 0.034 " " 0.657812 0.571875 0.037 " " 0.0 0.001 0.003 " " 0.1 0.3
0.816 0.474 0.035 " " 0.81875 0.478125 0.038 " " 0.002 0.004 0.003 " " 0.402 0.3
0.023 0.73 0.034 " " 0.0226563 0.732031 0.036 " " 0.001 0.002 0.002 " " 0.201 0.2
0.357 0.53 0.031 " " 0.359375 0.532812 0.035 " " 0.002 0.002 0.004 " " 0.202 0.4
0.394 0.452 0.045 " " 0.394531 0.453125 0.043 " " 0.001 0.001 0.002 " " 0.101 0.2
0.795 0.38 0.047 " " 0.798437 0.379687 0.043 " " 0.003 0.001 0.004 " " 0.10300000000000001 0.4
0.254 0.318 0.035 " " 0.253906 0.319531 0.038 " " 0.0 0.002 0.003 " " 0.2 0.3
0.64 0.13 0.04 " " 0.639063 0.129688 0.035 " " 0.001 0.001 0.005 " " 0.101 0.5
0.603 0.577 0.025 " " 0.603906 0.578125 0.024 " " 0.001 0.002 0.001 " " 0.201 0.1
0.029 0.813 0.05 " " 0.0289063 0.8125 0.049 " " 0.0 0.001 0.001 " " 0.1 0.1
0.643 0.523 0.033 " " 0.640625 0.524219 0.033 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.601 0.497 0.04 " " 0.597656 0.498437 0.04 " " 0.003 0.002 0.0 " " 0.203 0.0
0.469 0.245 0.039 " " 0.466406 0.242969 0.043 " " 0.002 0.002 0.004 " " 0.202 0.4
0.688 0.08 0.036 " " 0.6875 0.08125 0.038 " " 0.0 0.001 0.002 " " 0.1 0.2
0.434 0.484 0.038 " " 0.434375 0.485938 0.038 " " 0.0 0.002 0.0 " " 0.2 0.0
0.396 0.065 0.03 " " 0.396094 0.0671875 0.029 " " 0.0 0.002 0.001 " " 0.2 0.1
0.88 0.321 0.033 " " 0.879687 0.321875 0.036 " " 0.001 0.001 0.003 " " 0.101 0.3
0.082 0.183 0.032 " " 0.0828125 0.183594 0.03 " " 0.001 0.001 0.002 " " 0.101 0.2
0.537 0.507 0.028 " " 0.535937 0.508594 0.028 " " 0.002 0.002 0.0 " " 0.202 0.0
0.388 0.653 0.03 " " 0.385938 0.654688 0.031 " " 0.002 0.002 0.001 " " 0.202 0.1
0.059 0.723 0.03 " " 0.0609375 0.724219 0.03 " " 0.002 0.002 0.0 " " 0.202 0.0
0.058 0.63 0.042 " " 0.0585938 0.630469 0.039 " " 0.001 0.001 0.003 " " 0.101 0.3
0.777 0.332 0.036 " " 0.775781 0.332031 0.039 " " 0.002 0.0 0.003 " " 0.002 0.3
0.68 0.639 0.038 " " 0.678125 0.636719 0.037 " " 0.002 0.002 0.001 " " 0.202 0.1
0.342 0.38 0.039 " " 0.345313 0.380469 0.043 " " 0.003 0.001 0.004 " " 0.10300000000000001 0.4
0.504 0.495 0.027 " " 0.501562 0.496094 0.026 " " 0.002 0.002 0.001 " " 0.202 0.1
0.452 0.675 0.028 " " 0.451562 0.675781 0.028 " " 0.0 0.001 0.0 " " 0.1 0.0
0.365 0.287 0.044 " " 0.367969 0.283594 0.041 " " 0.003 0.004 0.003 " " 0.403 0.3
0.065 0.552 0.028 " " 0.065625 0.550781 0.028 " " 0.001 0.001 0.0 " " 0.101 0.0
0.272 0.457 0.032 " " 0.270312 0.458594 0.036 " " 0.002 0.002 0.004 " " 0.202 0.4
0.35 0.75 0.035 " " 0.351562 0.753125 0.036 " " 0.002 0.003 0.001 " " 0.302 0.1
0.076 0.333 0.071 " " 0.0710938 0.332812 0.074 " " 0.005 0.0 0.003 " " 0.005 0.3
0.232 0.145 0.078 " " 0.234375 0.142188 0.076 " " 0.002 0.002 0.002 " " 0.202 0.2
0.511 0.455 0.028 " " 0.510938 0.457031 0.03 " " 0.0 0.002 0.002 " " 0.2 0.2
0.379 0.337 0.03 " " 0.378125 0.3375 0.031 " " 0.001 0.001 0.001 " " 0.101 0.1
0.479 0.073 0.031 " " 0.478906 0.0703125 0.036 " " 0.0 0.003 0.005 " " 0.3 0.5
0.823 0.312 0.034 " " 0.825781 0.308594 0.034 " " 0.002 0.003 0.0 " " 0.302 0.0
0.503 0.107 0.024 " " 0.503906 0.108594 0.026 " " 0.001 0.002 0.002 " " 0.201 0.2
0.105 0.531 0.034 " " 0.103906 0.53125 0.033 " " 0.001 0.0 0.001 " " 0.001 0.1
0.031 0.68 0.031 " " 0.0328125 0.680469 0.03 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.102 0.723 0.032 " " 0.100781 0.722656 0.034 " " 0.001 0.0 0.002 " " 0.001 0.2
0.175 0.248 0.038 " " 2 2 2 " " 2 2 2 " " 202 200
0.707 0.299 0.026 " " 0.707031 0.303125 0.024 " " 0.0 0.004 0.002 " " 0.4 0.2
0.956 0.274 0.035 " " 0.953125 0.271875 0.036 " " 0.003 0.002 0.001 " " 0.203 0.1
0.701 0.555 0.044 " " 0.703125 0.559375 0.043 " " 0.002 0.005 0.001 " " 0.502 0.1
0.791 0.163 0.04 " " 0.791406 0.164062 0.041 " " 0.001 0.001 0.001 " " 0.101 0.1
0.131 0.277 0.027 " " 0.132031 0.26875 0.03 " " 0.001 0.008 0.003 " " 0.801 0.3
0.527 0.159 0.041 " " 0.525 0.164844 0.043 " " 0.002 0.006 0.002 " " 0.602 0.2
0.234 0.632 0.027 " " 0.233594 0.632812 0.027 " " 0.001 0.001 0.0 " " 0.101 0.0
0.276 0.71 0.023 " " 0.275 0.708594 0.025 " " 0.001 0.002 0.002 " " 0.201 0.2
0.37 0.221 0.033 " " 0.371094 0.223438 0.034 " " 0.001 0.003 0.001 " " 0.301 0.1
0.463 0.52 0.027 " " 0.464844 0.517969 0.023 " " 0.002 0.002 0.004 " " 0.202 0.4
