N File_Name Hand_Marks Network_Marks Cross_Marks "Lie_Marks, %" "True_Marks>20px, %" "dD<4px, %" "dD<10px, %"
1 frame0:00:15.00.txt 189 183 175 4.372 100.0 62.857 93.714
2 frame0:00:08.00.txt 234 228 218 4.386 100.0 67.431 96.789
3 frame0:00:19.00.txt 214 204 192 5.882 100.0 69.792 97.396
4 frame0:00:33.00.txt 262 256 245 4.297 100.0 68.571 96.735
5 frame0:00:02.00.txt 271 240 230 4.167 100.0 73.043 96.522
6 frame0:00:40.00.txt 205 183 178 2.732 100.0 64.045 97.191
7 frame0:00:25.00.txt 183 179 169 5.587 100.0 63.905 91.716
8 frame0:00:06.00.txt 287 274 262 4.38 100.0 66.794 96.565
9 frame0:00:22.00.txt 269 250 243 2.8 100.0 69.959 97.119
10 frame0:00:14.00.txt 226 225 209 7.111 100.0 69.378 97.129
11 frame0:00:18.00.txt 224 216 206 4.63 100.0 66.019 90.291
12 frame0:00:29.00.txt 172 166 155 6.627 100.0 68.387 97.419
13 frame0:00:26.00.txt 207 200 189 5.5 100.0 65.079 95.767
14 frame0:00:16.00.txt 218 211 201 4.739 100.0 63.682 95.522
15 frame0:00:35.00.txt 204 199 189 5.025 100.0 59.259 94.18
16 frame0:00:30.00.txt 295 254 250 1.575 100.0 66.4 96.0
17 frame0:00:17.00.txt 176 168 162 3.571 100.0 59.877 93.827
18 frame0:00:47.00.txt 269 234 213 8.974 100.0 66.667 95.775
19 frame0:00:00.00.txt 222 216 206 4.63 100.0 67.476 96.117
20 frame0:00:51.00.txt 176 164 142 13.415 100.0 64.789 92.958
21 frame0:00:38.00.txt 292 274 255 6.934 100.0 69.412 95.686
22 frame0:00:01.00.txt 216 205 196 4.39 100.0 69.898 97.449
23 frame0:00:03.00.txt 252 241 234 2.905 100.0 69.231 94.444
24 frame0:00:28.00.txt 222 203 192 5.419 100.0 67.188 94.792
25 frame0:00:46.00.txt 252 233 209 10.3 100.0 71.292 94.258
26 frame0:00:36.00.txt 230 205 196 4.39 100.0 68.878 96.429
27 frame0:00:41.00.txt 217 220 203 7.727 100.0 70.443 95.567
28 frame0:00:23.00.txt 234 219 209 4.566 100.0 66.507 95.215
29 frame0:00:37.00.txt 242 238 222 6.723 100.0 68.018 95.495
30 frame0:00:27.00.txt 254 236 223 5.508 100.0 63.229 95.964
31 frame0:00:12.00.txt 190 179 174 2.793 100.0 70.69 97.701
32 frame0:00:20.00.txt 241 229 216 5.677 100.0 64.352 95.833
33 frame0:00:45.00.txt 229 217 194 10.599 100.0 68.557 91.753
34 frame0:00:31.00.txt 229 219 210 4.11 100.0 66.667 96.667
35 frame0:00:49.00.txt 244 219 199 9.132 100.0 61.307 92.462
36 frame0:00:39.00.txt 221 216 202 6.481 100.0 67.327 94.554
37 frame0:00:52.00.txt 246 203 186 8.374 100.0 60.215 93.011
38 frame0:00:32.00.txt 218 205 201 1.951 100.0 73.632 97.015
39 frame0:00:11.00.txt 243 229 218 4.803 100.0 72.477 95.872
40 frame0:00:50.00.txt 209 187 163 12.834 99.387 63.19 94.479
41 frame0:00:04.00.txt 258 237 229 3.376 100.0 63.319 97.38
42 frame0:00:43.00.txt 192 204 162 20.588 100.0 67.284 95.679
43 frame0:00:05.00.txt 227 214 207 3.271 100.0 60.87 89.372
44 frame0:00:10.00.txt 244 235 216 8.085 100.0 70.37 95.37
45 frame0:00:07.00.txt 302 292 274 6.164 100.0 66.423 95.62
46 frame0:00:13.00.txt 200 191 182 4.712 100.0 66.484 94.505
47 frame0:00:44.00.txt 256 228 208 8.772 100.0 62.981 95.673
48 frame0:00:21.00.txt 265 250 239 4.4 100.0 72.385 97.49
49 frame0:00:48.00.txt 261 251 218 13.147 100.0 55.505 90.826
50 frame0:00:34.00.txt 253 248 234 5.645 100.0 68.376 95.726
